H,水素
He,ヘリウム
Li,リチウム
Be,ベリリウム
B,ホウ素
C,炭素
N,窒素
O,酸素
F,フッ素
Ne,ネオン
Na,ナトリウム
Mg,マグネシウム
Al,アルミニウム
Si,ケイ素
P,リン
S,硫黄
Cl,塩素
Ar,アルゴン
K,カリウム
Ca,カルシウム
Sc,スカンジウム
Ti,チタン
V,バナジウム
Cr,クロム
Mn,マンガン
Fe,鉄
Co,コバルト
Ni,ニッケル
Cu,銅
Zn,亜鉛
Ga,ガリウム
Ge,ゲルマニウム
As,ヒ素
Se,セレン
Br,臭素
Kr,クリプトン
Rb,ルビジウム
Sr,ストロンチウム
Y,イットリウム
Zr,ジルコニウム
Nb,ニオブ
Mo,モリブデン
Tc,テクネチウム
Ru,ルテニウム
Rh,ロジウム
Pd,パラジウム
Ag,銀
Cd,カドミウム
In,インジウム
Sn,スズ
Sb,アンチモン
Te,テルル
I,ヨウ素
Xe,キセノン
Cs,セシウム
Ba,バリウム
La,ランタン
Ce,セリウム
Pr,プラセオジム
Nd,ネオジム
Pm,プロメチウム
Sm,サマリウム
Eu,ユウロピウム
Gd,ガドリニウム
Tb,テルビウム
Dy,ジスプロシウム
Ho,ホルミウム
Er,エルビウム
Tm,ツリウム
Yb,イッテルビウム
Lu,ルテチウム
Hf,ハフニウム
Ta,タンタル
W,タングステン
Re,レニウム
Os,オスミウム
Ir,イリジウム
Pt,白金
Au,金
Hg,水銀
Tl,タリウム
Pb,鉛
Bi,ビスマス
Po,ポロニウム
At,アスタチン
Rn,ラドン
Fr,フランシウム
Ra,ラジウム
Ac,アクチニウム
Th,トリウム
Pa,プロトアクチニウム
U,ウラン
Np,ネプツニウム
Pu,プルトニウム
Am,アメリシウム
Cm,キュリウム
Bk,バークリウム
Cf,カリホルニウム
Es,アインスタイニウム
Fm,フェルミウム
Md,メンデレビウム
No,ノーベリウム
Lr,ローレンシウム
Rf,ラザホージウム
Db,ドブニウム
Sg,シーボーギウム
Bh,ボーリウム
Hs,ハッシウム
Mt,マイトネリウム
Ds,ダームスタチウム
Rg,レントゲニウム
Cn,コペルニシウム
Nh,ニホニウム
Fl,フレロビウム
Mc,モスコビウム
Lv,リバモリウム
Ts,テネシン
Og,オガネソン
