阿堵物,あとぶつ
錏屋根,しころやね
夏安居,げあんご
冬安居,とうあんご
餡転餅,あんころもち
衣裳櫃,いしょうびつ
囲繞地,いにょうち
片意地,かたいじ
雲華焼,うんげやき
繧繝縁,うんげんべり
曳光弾,えいこうだん
小意気,こいき
生意気,なまいき
有意義,ゆういぎ
鐚一文,びたいちもん
紙一重,かみひとえ
間一髪,かんいっぱつ
訶梨勒,かりろく
生一本,きいっぽん
桐一葉,きりひとは
紅一点,こういってん
戒厳令,かいげんれい
裸一貫,はだかいっかん
傀儡師,かいらいし
割烹着,かっぽうぎ
褐寛博,かつかんぱく
目一杯,めいっぱい
乾闥婆,けんだつば
勘亭流,かんていりゅう
大往生,だいおうじょう
立往生,たちおうじょう
翰林院,かんりんいん
癇癪玉,かんしゃくだま
伎芸天,ぎげいてん
鞠躬如,きっきゅうじょ
吉左右,きっそう
種牡馬,しゅぼば
窮措大,きゅうそだい
夾竹桃,きょうちくとう
棚牡丹,たなぼた
登下校,とうげこう
佝僂病,くるびょう
駆潜艇,くせんてい
閼伽棚,あかだな
閼伽棚,あかだな
腱鞘炎,けんしょうえん
胡蝶蘭,こちょうらん
半可通,はんかつう
五墓日,ごむにち
不可解,ふかかい
不可逆,ふかぎゃく
不可欠,ふかけつ
口蓋垂,こうがいすい
公廨稲,くがいとう
孔雀蝶,くじゃくちょう
弘徽殿,こきでん
拘耆羅,くきら
耕耘機,こううんき
黄幡神,おうばんしん
黄鶺鴒,きせきれい
黄櫨染,こうろぜん
槿花色,きんかしょく
膠原病,こうげんびょう
鴻臚館,こうろかん
仙花紙,せんかし
浄海坊,じょうかいぼん
紗綾形,さやがた
青海原,あおうなばら
歳刑神,さいぎょうしん
朔望月,さくぼうげつ
鑿岩機,さきがんき
三番叟,さんばそう
度外視,どがいし
珊瑚礁,さんごしょう
斬奸状,ざんかんじょう
讒謗律,ざんぼうりつ
止瀉薬,ししゃやく
門外漢,もんがいかん
紫宸殿,ししんでん
正覚坊,しょうがくぼう
治聾酒,じろうしゅ
味覚芽,みかくが
射倖心,しゃこうしん
先覚者,せんかくしゃ
主鷹司,しゅようし
守銭奴,しゅせんど
聚楽第,じゅらくだい
安楽死,あんらくし
我楽多,がらくた
集魚灯,しゅうぎょとう
世間体,せけんてい
薯蕷羹,しょよかん
抒情詩,じょじょうし
手間暇,てまひま
渉禽類,しょうきんるい
色眼鏡,いろめがね
焼夷弾,しょういだん
白眼視,はくがんし
障屏画,しょうへいが
鐘鼎文,しょうていぶん
城楼棚,せいろうだな
怪気焔,かいきえん
意気地,いくじ
身贔屓,みびいき
快気祝,かいきいわい
乳糜尿,にゅうびにょう
寧馨児,ねいけいじ
脳震盪,のうしんとう
脳膿瘍,のうのうよう
膿痂疹,のうかしん
巴旦杏,はたんきょう
塵点劫,じんでんごう
小気味,こきみ
清涼殿,せいりょうでん
猩紅熱,しょうこうねつ
猩猩緋,しょうじょうひ
脊髄癆,せきずいろう
蜃気楼,しんきろう
不気味,ぶきみ
鼠咬症,そこうしょう
躁鬱病,そううつびょう
昔気質,むかしかたぎ
増長天,ぞうじょうてん
没義道,もぎどう
没義道,もぎどう
村夫子,そんぷし
試金石,しきんせき
錬金術,れんきんじゅつ
偃月刀,えんげつとう
大衍暦,たいえんれき
獺祭魚,だっさいぎょ
炭疽病,たんそびょう
吐月峰,とげっぽう
五月雨,さみだれ
雪月花,せつげつか
地衡風,ちこうふう
蒙古斑,もうこはん
閑古鳥,かんこどり
樗蒲一,ちょぼいち
超弩級,ちょうどきゅう
江戸前,えどまえ
鎮痙剤,ちんけいざい
鎮咳剤,ちんがいざい
鎮撫使,ちんぶし
貞享暦,じょうきょうれき
瀬戸際,せとぎわ
鵞口瘡,がこうそう
点鬼簿,てんきぼ
転轍機,てんてつき
箝口令,かんこうれい
杜鵑花,とけんか
猪口才,ちょこざい
猪口才,ちょこざい
前口上,まえこうじょう
見巧者,みごうしゃ
独参湯,どくじんとう
乞巧奠,きこうでん
長広舌,ちょうこうぜつ
爬虫類,はちゅうるい
破瓜病,はかびょう
馬蹄螺,ばていら
馬鈴薯,ばれいしょ
長広舌,ちょうこうぜつ
麝香腺,じゃこうせん
般若湯,はんにゃとう
絆創膏,ばんそうこう
蕃茘枝,ばんれいし
飛蚊症,ひぶんしょう
貧民窟,ひんみんくつ
抹香鯨,まっこうくじら
最高潮,さいこうちょう
不料簡,ふりょうけん
孵卵器,ふらんき
乱高下,らんこうげ
硬骨漢,こうこつかん
福禄寿,ふくろくじゅ
真骨頂,しんこっちょう
糞掃衣,ふんぞうえ
不作為,ふさくい
冪級数,べききゅうすう
扁桃腺,へんとうせん
不作法,ぶさほう
匍匐茎,ほふくけい
無作為,むさくい
梁山泊,りょうざんぱく
卯酉線,ぼうゆうせん
案山子,かかし
皮算用,かわざんよう
胸算用,むなざんよう
満艦飾,まんかんしょく
碁子麺,きしめん
無頼漢,ぶらいかん
獅子吼,ししく
繻子蘭,しゅすらん
野狐禅,やこぜん
弥縫策,びほうさく
遊冶郎,ゆうやろう
羅紗綿,らしゃめん
叙事詩,じょじし
榴散弾,りゅうさんだん
好事家,こうずか
絽羽織,ろばおり
雁字搦め,がんじがらめ
土饅頭,どまんじゅう
蝸牛廬,かぎゅうろ
金字塔,きんじとう
楔状骨,けつじょうこつ
大時代,おおじだい
歳時記,さいじき
式次第,しきしだい
骨粗鬆,こつそしょう
緋毛氈,ひもうせん
儀仗兵,ぎじょうへい
稀覯本,きこうぼん
大禍時,おおまがとき
野次馬,やじうま
形而下,けいじか
形而上,けいじじょう
兵站線,へいたんせん
盂蘭盆会,うらぼんえ
饂飩鋤,うどんすき
手薬煉,てぐすね
木強漢,ぼっきょうかん
牙舎利,げしゃり
仏舎利,ぶっしゃり
広小路,ひろこうじ
泉貨紙,せんかし
合言葉,あいことば
袋小路,ふくろこうじ
増上慢,ぞうじょうまん
青写真,あおじゃしん
大上段,だいじょうだん
青二才,あおにさい
偉丈夫,いじょうぶ
悪趣味,あくしゅみ
悪循環,あくじゅんかん
偉丈夫,いじょうふ
居丈高,いたけだか
朝寝坊,あさねぼう
阿修羅,あしゅら
気丈夫,きじょうぶ
天邪鬼,あまのじゃく
雨模様,あめもよう
大丈夫,だいじょうぶ
居心地,いごこち
不心得,ふこころえ
夢心地,ゆめごこち
依怙地,いこじ
用心棒,ようじんぼう
十六夜,いざよい
現人神,あらひとがみ
美人局,つつもたせ
半人前,はんにんまえ
異端児,いたんじ
一見識,いちけんしき
他人事,ひとごと
真人間,まにんげん
一家言,いっかげん
一隻眼,いっせきがん
一張羅,いっちょうら
厭世観,えんせいかん
一辺倒,いっぺんとう
俗世間,ぞくせけん
居留守,いるす
不世出,ふせいしゅつ
岩清水,いわしみず
魚河岸,うおがし
氏素性,うじすじょう
宝生流,ほうしょうりゅう
内弁慶,うちべんけい
放生会,ほうじょうえ
運鈍根,うんどんこん
絵空事,えそらごと
往生際,おうじょうぎわ
円熟味,えんじゅくみ
急先鋒,きゅうせんぽう
大御所,おおごしょ
大雑把,おおざっぱ
楮先生,ちょせんせい
幼馴染,おさななじみ
御題目,おだいもく
音沙汰,おとさた
急先鋒,きゅうせんぽう
値千金,あたいせんきん
街路樹,がいろじゅ
八千代,やちよ
跨線橋,こせんきょう
河川敷,かせんしき
渡線橋,とせんきょう
金釘流,かなくぎりゅう
分相応,ぶんそうおう
分相応,ぶんそうおう
悪太郎,あくたろう
空元気,からげんき
助太刀,すけだち
立太子,りったいし
韋駄天,いだてん
無駄足,むだあし
無駄骨,むだぼね
長大息,ちょうたいそく
几帳面,きちょうめん
一大事,いちだいじ
集大成,しゅうたいせい
長大息,ちょうたいそく
並大抵,なみたいてい
地団太,じだんだ
麒麟児,きりんじ
近似値,きんじち
大団円,だいだんえん
浅知恵,あさぢえ
下剋上,げこくじょう
月桂冠,げっけいかん
未知数,みちすう
天地人,てんちじん
原動力,げんどうりょく
土地勘,とちかん
恋女房,こいにょうぼう
頓痴気,とんちき
好々爺,こうこうや
乱痴気,らんちき
不調法,ぶちょうほう
小細工,こざいく
本調子,ほんちょうし
御破算,ごはさん
御利益,ごりやく
金輪際,こんりんざい
有頂天,うちょうてん
仏頂面,ぶっちょうづら
早乙女,さおとめ
一定字,いっていじ
茶飯事,さはんじ
無定見,むていけん
直談判,じかだんぱん
相弟子,あいでし
愛弟子,まなでし
青天井,あおてんじょう
能天気,のうてんき
破天荒,はてんこう
別天地,べってんち
摩天楼,まてんろう
満天下,まんてんか
上機嫌,じょうきげん
卒塔婆,そとば
卵塔場,らんとうば
橋頭堡,きょうとうほ
旋頭歌,せどうか
神通力,じんつうりき
審美眼,しんびがん
水蒸気,すいじょうき
数寄屋,すきや
断頭台,だんとうだい
赤裸々,せきらら
禿頭病,とくとうびょう
白頭翁,はくとうおう
賓頭盧,びんずる
橋頭保,きょうとうほ
善後策,ぜんごさく
千秋楽,せんしゅうらく
先入観,せんにゅうかん
千里眼,せんりがん
既得権,きとくけん
不得手,ふえて
素封家,そほうか
縛日羅,ばさら
太公望,たいこうぼう
大黒柱,だいこくばしら
太鼓判,たいこばん
醍醐味,だいごみ
秋日和,あきびより
陰日向,かげひなた
大食漢,たいしょくかん
後日談,ごじつだん
短日月,たんじつげつ
手弱女,たおやめ
高飛車,たかびしゃ
駄洒落,だじゃれ
多数決,たすうけつ
朴念仁,ぼくねんじん
正念場,しょうねんば
朴念仁,ぼくねんじん
曲馬団,きょくばだん
催馬楽,さいばら
下馬評,げばひょう
走馬灯,そうまとう
風馬牛,ふうばぎゅう
低姿勢,ていしせい
笏拍子,しゃくびょうし
出鱈目,でたらめ
突拍子,とっぴょうし
臘八会,ろうはちえ
十八番,おはこ
過不及,かふきゅう
天王山,てんのうざん
桃源郷,とうげんきょう
逃避行,とうひこう
過不足,かぶそく
登竜門,とうりゅうもん
出不精,でぶしょう
筆不精,ふでぶしょう
道産子,どさんこ
土性骨,どしょうぼね
土壇場,どたんば
役不足,やくぶそく
理不尽,りふじん
泥仕合,どろじあい
丼勘定,どんぶりかんじょう
長丁場,ながちょうば
仕舞屋,しもたや
生半可,なまはんか
檜舞台,ひのきぶたい
手風琴,てふうきん
殺風景,さっぷうけい
二枚舌,にまいじた
艶福家,えんぷくか
微温湯,ぬるまゆ
七福神,しちふくじん
歌物語,うたものがたり
野放図,のほうず
寝物語,ねものがたり
端境期,はざかいき
風物詩,ふうぶつし
閑文字,かんもじ
花吹雪,はなふぶき
不文律,ふぶんりつ
破廉恥,はれんち
造兵廠,ぞうへいしょう
短兵急,たんぺいきゅう
短兵急,たんぺいきゅう
一筋縄,ひとすじなわ
生兵法,なまびょうほう
日和見,ひよりみ
扁平足,へんぺいそく
太平楽,たいへいらく
唐変木,とうへんぼく
唐変木,とうへんぼく
処方箋,しょほうせん
平方根,へいほうこん
駄法螺,だぼら
仏法僧,ぶっぽうそう
安本丹,あんぽんたん
不行跡,ふぎょうせき
不謹慎,ふきんしん
一本気,いっぽんぎ
照魔鏡,しょうまきょう
伏魔殿,ふくまでん
破魔矢,はまや
不思議,ふしぎ
不始末,ふしまつ
不死身,ふじみ
不条理,ふじょうり
断末魔,だんまつま
不退転,ふたいてん
断末魔,だんまつま
施無畏,せむい
珍無類,ちんむるい
不手際,ふてぎわ
感無量,かんむりょう
不如意,ふにょい
南無三,なむさん
根無草,ねなしぐさ
冬将軍,ふゆしょうぐん
不養生,ふようじょう
無礼講,ぶれいこう
雰囲気,ふんいき
文化財,ぶんかざい
鉄面皮,てつめんぴ
鉄面皮,てつめんぴ
真面目,まじめ
屁理屈,へりくつ
入木道,じゅぼくどう
没交渉,ぼつこうしょう
冬木立,ふゆこだち
滋目結,しげめゆい
一目散,いちもくさん
益荒男,ますらお
荷葉座,かしょうざ
闊葉樹,かつようじゅ
陀羅尼,だらに
眉唾物,まゆつばもの
波羅蜜,はらみつ
木乃伊,みいら
身支度,みじたく
水菓子,みずがし
未曾有,みぞう
綺羅星,きらぼし
身代金,みのしろきん
未亡人,みぼうじん
耳学問,みみがくもん
修羅場,しゅらば
出来高,できだか
無尽蔵,むじんぞう
無造作,むぞうさ
風来坊,ふうらいぼう
外連味,けれんみ
無頓着,むとんじゃく
注連縄,しめなわ
無分別,むふんべつ
檳榔樹,びろうじゅ
名伯楽,めいはくらく
面倒見,めんどうみ
檳榔毛,びろうげ
目論見,もくろみ
八百長,やおちょう
目論見,もくろみ
敵愾心,てきがいしん
屋台骨,やたいぼね
敵愾心,てきがいしん
野暮天,やぼてん
独擅場,どくせんじょう
独擅場,どくせんじょう
五斂子,ごれんし
夜汽車,よぎしゃ
横恋慕,よこれんぼ
余所見,よそみ
楽隠居,らくいんきょ
収斂剤,しゅうれんざい
浄玻璃,じょうはり
立候補,りっこうほ
瑇玻盞,たいひさん
呉茱萸,ごしゅゆ
両極端,りょうきょくたん
冷血漢,れいけつかん
山茱萸,さんしゅゆ
老婆心,ろうばしん
華鬘草,けまんそう
勝鬘経,しょうまんぎょう
大人気,だいにんき
大人数,おおにんずう
大丈夫,だいじょうぶ
一人前,いちにんまえ
