宮島でこの名を冠した饅頭が有名である、広島県の県の木・県の花は何でしょう？,モミジ
魚というよりは貝ですが、広島県の県の魚は何でしょう？,カキ
国の天然記念物にも指定されている、広島県の鳥は何でしょう？,アビ
気候の温暖な小豆島は日本で初めて栽培に成功した土地であり、香川県が収穫量8割以上で日本一を誇る県木・県花は何でしょう？,オリーブ
昭和は1926年12月25日から1989年1月の何日まででしょう？,7
大正天皇が亡くなった年である、昭和元年は西暦何年でしょう？,1926
大正天皇が亡くなったのは1926年の何月でしょう？,12
西暦1926年は昭和元年ですが、第二次世界大戦が終戦した1945年は昭和何年でしょう？,20
レコードのB面を意味する言葉に由来する、『only my railgun』などの曲があるバンドは何でしょう？, FripSide
公式ファンクラブは「freakSide」である、『only my railgun』などの曲があるバンドは何でしょう？, FripSide
旧姓が螻川内、本名が上田栄子という、『あたしンち』の作者のは誰でしょう？,けらえいこ
そのペンネームは12、3歳の頃の演劇の役名のもじりである、『約束のネバーランド』の作画を手掛けた女性は誰でしょう？,でみずぽすか,出水ぽすか
2005年に放映されたアニメと同名の主題歌であり、「一万年とニ千年前から愛してる」という歌詞が有名である「AKINO from bless4」の曲は何でしょう？,『創聖のアクエリオン』
ゆかなが声をつとめる、『コードギアス 反逆のルルーシュ』のルルーシュにギアスを発現させる女性は誰でしょう？,C.C.,シーツー
一般的にカンマ区切りのデータ形式を略して何と呼ぶでしょう？,CSV
「ダークポケモンをスナッチで奪い取っていく」「野生のポケモンがでず、トレーナーとのダブルバトルのみ」など特徴的であった、2003年発売のゲームキューブソフトは何でしょう？,『ポケモンコロシアム』
メドレーの『ニコニコ動画流星群』にも使われている、2006年7月5日発売の茅原実里が歌う、長門有希のキャラクターソングは何でしょう？,『雪、無音、窓辺にて。』
根性が口癖である、学園都市第7位の超能力者(レベル5)は誰でしょう？,そぎいたぐんは,削板軍覇
スピンオフ作品『とある科学の心理掌握』では主人公を務める、学園都市第5位の超能力者(レベル5)は誰でしょう？,しょくほうみさき,食蜂操祈
佐藤利奈が声優を務める、外伝『とある科学の超電磁砲』の主人公は誰でしょう？,みさかみこと,御坂美琴
「あなたは……好きですか?」と消しても現れるポップアップ広告のFLASHサイトは何でしょう？,赤い部屋
誕生日8月6日、身長8.6cm、体重いちご5個分の春名ヒロ子に飼われているハムスターの名前は何でしょう？,ハム太郎
『ONE PIECE』で、サンジは三男ですが、弟である四男の名前はフルネームで何でしょう？,ヴィンスモーク・ヨンジ
『ONE PIECE』で、サンジは三男ですが、姉のフルネームは何でしょう？,ヴィンスモーク・レイジュ
名前の由来はフランス語で義母を意味する「belle-mère」からである、『ONE PIECE』のナミとノジコの養母は誰でしょう？,ベルメール
CLAMPのマンガ『XXXHOLiC』の主人公「四月一日 君尋」は何と読むでしょう？,わたぬき きみひろ
口をパクパクさせていることが由来であるという、ナムコより1980年5月22日に発表されたアーケードゲームは何でしょう？,パックマン
犯罪者と同じ名前にならないようにと特殊な名前があてられた、『DEATH NOTE』の主人公は誰でしょう？,やがみらいと,夜神 月,
イングランド人として初めて世界一周を達成し、1588年のアルマダの海戦ではイギリス艦隊副司令官に任命され火のついた船を敵艦隊に送り込んでスペイン艦隊を壊滅させた人物は誰でしょう？,ドレーク,フランシス・ドレーク
『ONE PIECE』のキャラの由来にもなっている、5世紀頃のスカンディナヴィア王女だったが結婚を拒みバルト海の海賊になった人物は誰でしょう？,アルビダ
西尾維新のデビュー作『クビキリサイクル』に登場する三つ子メイドは、千賀あかり・千賀ひかりと誰でしょう？,ちがてるこ,千賀てる子
『クビキリサイクル』のヒロイン玖渚友、『ATARU』の主人公チョコザイ、『グッド・ドクター』の主人公パク・シオン、この3人に共通して抱える障害・能力は何でしょう？,サヴァン症候群
アニメでは高木渉が声をつとめる、自分の本当の顔と記憶を取り戻すために魔法使いを狩っている、トカゲ頭の漫画『ドロヘドロ』の主人公は誰？,カイマン
アニメでは小林ゆうが声をつとめる、林田球の漫画『ドロヘドロ』で煙の従姉妹で心のパートナーは誰でしょう？,能井
アニメでは富田美憂が声をつとめる、林田球の漫画『ドロヘドロ』で髑髏のマスクを被る少女は誰でしょう?,恵比寿
林田球の漫画『ドロヘドロ』で、カイマンや二階堂らが暮らす町の名称は何でしょう？,ホール
『BANANA FISH』『ゾンビランドサガ』『ドロヘドロ』『呪術廻戦』を作成したアニメ会社はどこでしょう？,MAPPA
最初のTVアニメは『坂道のアポロン』であった、マッドハウスを退職した丸山正雄が70歳のときに設立したアニメ制作会社は何でしょう？,MAPPA
映画『この世界の片隅に』やアニメ『進撃の巨人 The Final Season』などを制作したアニメ会社は何でしょう？,MAPPA
元・株式会社マッドハウス取締役社長で、MAPPAを70歳で設立した人物は誰でしょう？,丸山正雄
乙一が書いた『ジョジョの奇妙な冒険』第四部のノベライズ本は何というタイトルでしょう？,『The Book』
英題は「Battle Tendency」である、ジョセフ・ジョースターが柱の男らと戦う『ジョジョの奇妙な冒険』第ニ部の副題は何でしょう？,戦闘潮流
直訳すると「星屑十字軍」である、空条承太郎らがエジプトにいるDIOを倒しに行く『ジョジョの奇妙な冒険』第三部の副題は何でしょう？,スターダストクルセイダース
当初は「Diamond is not Clash」という誤った英語があてられた、杜王町で東方仗助らが活躍する『ジョジョの奇妙な冒険』第四部の副題は何でしょう？,ダイヤモンドは砕けない
イタリア語で「VENTO AUREO」である、イタリアを舞台にジョルノ・ジョバーナが活躍する『ジョジョの奇妙な冒険』第四部の副題は何でしょう？,黄金の風
兄は上から大吾・慧吾・怜吾であり四男であり、AnotherVision2代目代表だった謎解きクリエイターは誰でしょう？,松丸亮吾
Hey! Say! JUMPのメンバーの中で、最も平成元年に近い生年月日である最年長者は誰でしょう？,やぶこうた,薮宏太
『ちはやふる』の主人公・千早の名字は何でしょう？,綾瀬
本名は前田である、映画『ちはやふる』で演じた綿谷新から1字とって改名した俳優は誰でしょう？,あらたまっけんゆう,新田真剣佑
愛知県出身の名古屋工業大学工学部卒業の漫画家である。『のりりん』『なるたる』『ぼくらの』などの漫画を連載した人物は誰でしょう？,きとうもひろ,鬼頭莫宏
ワクと呼ばれる、『ぼくらの』で建設業社長の息子は誰でしょう？,わくたかし,和久隆
コダマと呼ばれる、『ぼくらの』で自然学校に参加した15人の中で最初に戦って死んだのは誰でしょう？,こだかまさる,小高勝
阿澄佳奈が声をつとめる、『ぼくらの』で自然学校に参加した15人の中で小学4年生と最年少人物は誰でしょう？,うしろかな,宇白可奈
アニメでは石田彰が声をつとめる、『ぼくらの』のキャラは誰でしょう？,コエムシ
『ぼくらの』のコエムシ、『NARUTO -ナルト-』の我愛羅、『新世紀エヴァンゲリオン』の渚カヲルなどの声をつとめた声優は誰でしょう？,いしだあきら,石田彰
『まりあ✝ほりっく』のアニメ第1期のオープニングテーマ曲である、小林ゆうが歌う曲は何でしょう？,HANAJI
『まりあ✝ほりっく』の衹堂鞠也、『さよなら絶望先生』木村カエレ、『銀魂』の猿飛あやめの声をつとめた声優は誰でしょう？,小林ゆう
鬼頭莫宏の「」、今井哲也の「よあけ」、宗田理の「七日間戦争」、これらの言葉の前に共通してつく言葉は何でしょう。,ぼくらの
『彼氏彼女の事情』『ふしぎの海のナディア』『新世紀エヴァンゲリオン』のアニメ監督をつとめた人物は誰でしょう？,あんのひであき,庵野秀明
『今日の5の2』『みなみけ』『そんな未来はウソである』などの漫画を描いた漫画家は誰でしょう？,さくばコハル,桜場コハル
『GOSICK -ゴシック-』『砂糖菓子の弾丸は撃ちぬけない』などの小説があり、2008年に『私の男』で直木賞を受賞した小説家は誰でしょう？,さくらばかずき,桜庭一樹
「世の中にはへりくだった方がいい」という考えでその名前である、『呪術廻戦』の作者は誰でしょう？,あくたみげげ
『ゲゲゲの鬼太郎』の水木しげるですが、『アカギ』の主人公は誰でしょう?,赤木しげる
本名は久保美津子という女性である、『モテキ』などで知られる漫画家は誰でしょう？,久保ミツロウ
その名前は絵本作家の安野光雅と小説『ドグラマグラ』の呉モヨコを由来とする、『働きマン』などの著者は誰でしょう？,あんのもよこ,安野モヨコ
矢沢永吉と本名を由来とする、『NANA』の作者は誰でしょう？,矢沢あい
その名前は初めて描いた漫画『海の近くの遊園地』に由来する、『3月のライオン』などで知られる漫画家は誰でしょう？,羽海野チカ
その名はフリック入力がしやすいからという、『かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜』の著者は誰でしょう？,赤坂アカ
『とっても!ラッキーマン』のラッキーマン、『天空の城ラピュタ』のパズー、『ONE PIECE』のルフィの声をつとめる声優は誰でしょう?,田中真弓
マチと呼ばれる、『ぼくらの』でコエムシの妹は誰でしょう？,まちようこ,町洋子
ゆみ、るな、ぎしの3人組YouTuberの名前は何でしょう？,ばんばんざい
ばんばんざいのメンバーは、ゆみ、るなと誰でしょう？,ぎし
ばんばんざいのメンバーは、るな、ぎしと誰でしょう？,ゆみ
ばんばんざいのメンバーは、ぎし、ゆみと誰でしょう？,るな
日野聡が声をつとめる、『ゼロの使い魔』でルイズの使い魔として呼び出されてしまった主人公は誰でしょう？,ひらがさいと,平賀才人
